,Timeline,Start time,Duration,Row,Instance num,Pass Type,Player,Recipient,Half,Outcome
38,BARvALAV,01.030,1.207,Deportivo Alavés,39,Kick Off,Rubén Sobrino Pozuelo,Fernando Pacheco,Own Half,Complete
39,BARvALAV,01.033,3.3,Deportivo Alavés,40,Regular Pass,Fernando Pacheco,Ibai Gómez,Opposition Half,Incomplete
40,BARvALAV,01.033,0.857,Barcelona,41,Recovery,Gerard Piqué Bernabéu,Ousmane Dembélé,Own Half,Incomplete
41,BARvALAV,01.033,0.936,Barcelona,42,Regular Pass,Philippe Coutinho,Jordi Alba Ramos,Opposition Half,Complete
42,BARvALAV,01.037,4.309,Deportivo Alavés,43,Recovery,Rubén Sobrino Pozuelo,Fernando Pacheco,Opposition Half,Complete
43,BARvALAV,01.038,1.174,Deportivo Alavés,44,Recovery,Fernando Pacheco,Burgui,Opposition Half,Incomplete
44,BARvALAV,01.042,4.203,Deportivo Alavés,45,Regular Pass,Víctor Laguardia Cisneros,Manu García,Own Half,Complete
45,BARvALAV,01.043,1.903,Deportivo Alavés,46,Recovery,Jonathan Rodríguez Menéndez,Guillermo Alfonso Maripán Loaysa,Own Half,Complete
46,BARvALAV,01.045,2.811,Barcelona,47,Recovery,Marc-André ter Stegen,Ivan Rakitić,Own Half,Incomplete
47,BARvALAV,01.047,2.523,Barcelona,48,Regular Pass,Jordi Alba Ramos,Ousmane Dembélé,Own Half,Incomplete
48,BARvALAV,01.048,1.3,Barcelona,49,Recovery,Ivan Rakitić,Philippe Coutinho,Own Half,Incomplete
49,BARvALAV,01.050,2.0,Deportivo Alavés,50,Regular Pass,Tomás Pina,Burgui,Own Half,Incomplete
50,BARvALAV,01.051,1.977,Deportivo Alavés,51,Recovery,Guillermo Alfonso Maripán Loaysa,Rubén Sobrino Pozuelo,Opposition Half,Incomplete
51,BARvALAV,01.052,1.269,Barcelona,52,Kick Off,Nélson Cabral Semedo,Samuel Yves Umtiti,Opposition Half,Incomplete
52,BARvALAV,01.053,1.122,Barcelona,53,Regular Pass,Sergio Busquets i Burgos,Nélson Cabral Semedo,Own Half,Incomplete
53,BARvALAV,01.056,3.348,Deportivo Alavés,54,Kick Off,Manu García,Tomás Pina,Opposition Half,Complete
54,BARvALAV,01.059,3.389,Deportivo Alavés,55,Regular Pass,Víctor Laguardia Cisneros,Fernando Pacheco,Opposition Half,Incomplete
55,BARvALAV,02.000,1.566,Barcelona,56,Regular Pass,Sergio Busquets i Burgos,Samuel Yves Umtiti,Opposition Half,Incomplete
56,BARvALAV,02.001,1.082,Barcelona,57,Recovery,Gerard Piqué Bernabéu,Sergio Busquets i Burgos,Own Half,Incomplete
57,BARvALAV,02.003,2.963,Deportivo Alavés,58,Kick Off,Fernando Pacheco,Rubén Sobrino Pozuelo,Own Half,Complete
58,BARvALAV,02.007,4.42,Deportivo Alavés,59,Recovery,Guillermo Alfonso Maripán Loaysa,Ibai Gómez,Opposition Half,Incomplete
59,BARvALAV,02.007,0.733,Barcelona,60,Kick Off,Ousmane Dembélé,Ousmane Dembélé,Opposition Half,Incomplete
60,BARvALAV,02.009,2.268,Barcelona,61,Recovery,Samuel Yves Umtiti,Sergio Busquets i Burgos,Own Half,Incomplete
61,BARvALAV,02.012,3.857,Barcelona,62,Kick Off,Samuel Yves Umtiti,Philippe Coutinho,Own Half,Incomplete
62,BARvALAV,02.013,1.223,Deportivo Alavés,63,Recovery,Burgui,Rubén Sobrino Pozuelo,Own Half,Complete
63,BARvALAV,02.014,1.05,Deportivo Alavés,64,Recovery,Tomás Pina,Burgui,Opposition Half,Complete
64,BARvALAV,02.016,2.032,Barcelona,65,Recovery,Jordi Alba Ramos,Ousmane Dembélé,Own Half,Complete
65,BARvALAV,02.020,4.001,Deportivo Alavés,66,Recovery,Guillermo Alfonso Maripán Loaysa,Burgui,Opposition Half,Complete
66,BARvALAV,02.022,2.496,Deportivo Alavés,67,Regular Pass,Rubén Duarte,Guillermo Alfonso Maripán Loaysa,Own Half,Complete
67,BARvALAV,02.025,3.398,Barcelona,68,Kick Off,Jordi Alba Ramos,Sergio Busquets i Burgos,Own Half,Incomplete
68,BARvALAV,02.028,3.818,Deportivo Alavés,69,Recovery,Tomás Pina,Guillermo Alfonso Maripán Loaysa,Opposition Half,Complete
69,BARvALAV,02.032,4.204,Deportivo Alavés,70,Kick Off,Tomás Pina,Jonathan Rodríguez Menéndez,Own Half,Incomplete
70,BARvALAV,02.035,3.403,Barcelona,71,Kick Off,Jordi Alba Ramos,Nélson Cabral Semedo,Own Half,Complete
71,BARvALAV,02.035,0.594,Deportivo Alavés,72,Kick Off,Tomás Pina,Burgui,Own Half,Incomplete
72,BARvALAV,02.036,1.813,Deportivo Alavés,73,Recovery,Rubén Duarte,Manu García,Opposition Half,Complete
73,BARvALAV,02.039,3.28,Barcelona,74,Regular Pass,Nélson Cabral Semedo,Jordi Alba Ramos,Own Half,Incomplete
74,BARvALAV,02.039,0.563,Deportivo Alavés,75,Recovery,Guillermo Alfonso Maripán Loaysa,Guillermo Alfonso Maripán Loaysa,Opposition Half,Incomplete
75,BARvALAV,02.040,1.799,Barcelona,76,Regular Pass,Nélson Cabral Semedo,Sergio Busquets i Burgos,Own Half,Complete
76,BARvALAV,02.041,1.76,Deportivo Alavés,77,Recovery,Manu García,Tomás Pina,Own Half,Incomplete
77,BARvALAV,02.041,0.977,Deportivo Alavés,78,Recovery,Rubén Sobrino Pozuelo,Burgui,Opposition Half,Complete
78,BARvALAV,02.045,4.256,Deportivo Alavés,79,Recovery,Víctor Laguardia Cisneros,Guillermo Alfonso Maripán Loaysa,Own Half,Incomplete
79,BARvALAV,02.048,3.047,Barcelona,80,Kick Off,Jordi Alba Ramos,Sergi Roberto Carnicer,Opposition Half,Complete
80,BARvALAV,02.049,1.104,Barcelona,81,Kick Off,Ousmane Dembélé,Jordi Alba Ramos,Own Half,Incomplete
81,BARvALAV,02.051,2.405,Deportivo Alavés,82,Kick Off,Rubén Duarte,Tomás Pina,Own Half,Incomplete
82,BARvALAV,02.054,3.52,Barcelona,83,Recovery,Philippe Coutinho,Sergi Roberto Carnicer,Own Half,Incomplete
83,BARvALAV,02.054,0.881,Barcelona,84,Kick Off,Ousmane Dembélé,Philippe Coutinho,Opposition Half,Incomplete
84,BARvALAV,02.056,2.273,Deportivo Alavés,85,Regular Pass,Guillermo Alfonso Maripán Loaysa,Manu García,Own Half,Incomplete
85,BARvALAV,02.057,1.314,Barcelona,86,Recovery,Gerard Piqué Bernabéu,Samuel Yves Umtiti,Opposition Half,Incomplete
86,BARvALAV,03.000,3.432,Deportivo Alavés,87,Kick Off,Ibai Gómez,Rubén Sobrino Pozuelo,Opposition Half,Complete
87,BARvALAV,03.001,1.15,Barcelona,88,Kick Off,Ivan Rakitić,Jordi Alba Ramos,Own Half,Complete
88,BARvALAV,03.004,3.32,Barcelona,89,Kick Off,Luis Suárez,Sergi Roberto Carnicer,Opposition Half,Complete
89,BARvALAV,03.005,1.323,Barcelona,90,Regular Pass,Philippe Coutinho,Philippe Coutinho,Opposition Half,Incomplete
90,BARvALAV,03.009,4.381,Deportivo Alavés,91,Regular Pass,Rubén Duarte,Guillermo Alfonso Maripán Loaysa,Opposition Half,Complete
91,BARvALAV,03.009,0.763,Barcelona,92,Regular Pass,Sergio Busquets i Burgos,Gerard Piqué Bernabéu,Opposition Half,Complete
92,BARvALAV,03.011,2.016,Deportivo Alavés,93,Kick Off,Víctor Laguardia Cisneros,Víctor Laguardia Cisneros,Opposition Half,Complete
93,BARvALAV,03.013,2.419,Deportivo Alavés,94,Recovery,Fernando Pacheco,Burgui,Own Half,Incomplete
94,BARvALAV,03.014,1.888,Barcelona,95,Regular Pass,Ousmane Dembélé,Marc-André ter Stegen,Own Half,Complete
95,BARvALAV,03.015,1.584,Barcelona,96,Recovery,Jordi Alba Ramos,Luis Suárez,Opposition Half,Incomplete
96,BARvALAV,03.017,2.454,Deportivo Alavés,97,Regular Pass,Rubén Duarte,Ibai Gómez,Own Half,Incomplete
97,BARvALAV,03.021,4.092,Barcelona,98,Kick Off,Sergi Roberto Carnicer,Ivan Rakitić,Opposition Half,Incomplete
98,BARvALAV,03.024,3.295,Barcelona,99,Regular Pass,Sergio Busquets i Burgos,Nélson Cabral Semedo,Opposition Half,Incomplete
